1.1.1.	svezhij
1.1.2.	svezhajshij
1.1.3.	prosrochennyj
1.1.4.	prokisshij
1.2.1.1.	bljuda byli super
1.2.1.2.	eda vkusnaja
1.2.1.3.	eda domashnjaja
1.2.1.4.	kuhnja prekrasnaja
1.2.1.5.	eda horoshaja
1.2.1.6.	ot kuhni v vostorge
1.2.1.7.	zatejlivye bljuda
1.2.1.8.	kuhnju ne opisat'
1.2.1.9.	bljuda kak proizvedenija iskusstva
1.2.1.10.	eda horosha v ljubom vide
1.2.1.11.	edoj naslazhdalis'
1.2.1.12.	bljudo luchshee v gorode
1.2.1.13.	eda prosto kosmos
1.2.1.14.	umopomrachitel'naja eda
1.2.1.15.	eda posredstvennaja
1.2.1.16.	eda potrjasnaja
1.2.1.17.	eda velikolepnaja
1.2.1.18.	eda ne ustupaet
1.2.1.19.	kuhnja 10 ballov
1.2.1.20.	kuhnja na vysote
1.2.1.21.	kuhnja plohaja
1.2.2.1.	teploe
1.2.2.2.	bljuda gorjachie
1.2.2.3.	prinesli holodnoe
1.2.3.1.	ochen' vkusnyj
1.2.3.2.	est' nevozmozhno
1.2.3.3.	vkusnejshij
1.2.4.1.	kachestvennaja eda
1.2.4.2.	produkty kachestvennye
1.2.4.3.	kachestvo posredstvennoe
1.2.4.4.	kachestvo otvratitel'noe
1.2.5.1.	zdorovoe pitanie
1.2.5.2.	natural'nye ingredienty
1.2.5.3.	zheludok ne bolit
1.2.5.4.	otravilsja
1.2.6.1.	gotovjat horosho
1.2.6.2.	ponravilos' kachestvo prigotovlenija bljud
1.2.6.3.	gotovit' ne umejut
1.2.7.1.	bol'shie portsii
1.2.7.2.	dovol'no krupnye portsii
1.2.7.3.	bol'shaja razmernaja eda
1.2.7.4.	portsii dostojnyh razmerov
1.2.7.5.	portsii slishkom malen'kie
1.2.7.6.	na odin zub
1.2.8.1.	original'nyj
1.2.8.2.	ekzotichno
1.2.8.3.	neobychno
1.2.8.4.	nigde ne najti
1.2.9.1.	mozhno poprosit' ubrat'
1.2.9.2.	ubirajut ingredienty
1.2.9.3.	est' kastomizatsija
1.2.10.1.	krasivaja podacha
1.2.10.2	krasivoe oformlenie
1.2.10.3.	podacha bljud hromaet
1.2.10.4.	blagorodnaja podacha 
1.2.10.5.	ponravilos' oformlenie
1.2.10.6.	ponravilsja vneshnij vid
1.3.1.	bol'shoj vybor napitkov
1.3.2.	koktejli klassnye po oformleniju
1.3.3.	est' avtorskie koktejli
1.3.4.	firmennye koktejli
1.3.5.	znatnyj alkogol'
1.3.6.	otlichnaja barnaja karta
1.3.7.	horoshaja vinnaja karta
1.3.8.	uzhasnyj alkogol'
1.3.9.	alkogolja net
1.4.1.	mnogo desertov
1.4.2.	vkusnye deserty
1.4.3.	deserty nevkusnye
1.5.1.	horoshie zakuski
